id,param_value,expected_regret,correct_arm,correct_arm_80,min_opt_gap,opt_mean,warmup,warmup_label
199,81,60.72399999999999,0.97,0.97,0.09999999999999998,0.6,0,Warmup N: 0
200,81,102.97100000000009,0.88,0.06,0.050000000000000044,0.55,0,Warmup N: 0
201,81,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
202,81,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
203,81,282.20700000000016,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
204,81,235.2175,1.0,1.0,0.25,0.75,1000,Warmup N: 1000
205,81,189.60799999999995,1.0,1.0,0.19999999999999996,0.7,1000,Warmup N: 1000
206,81,150.14850000000007,1.0,1.0,0.15000000000000002,0.65,1000,Warmup N: 1000
207,81,116.18499999999995,1.0,1.0,0.09999999999999998,0.6,1000,Warmup N: 1000
208,81,129.76400000000012,0.73,0.06,0.050000000000000044,0.55,1000,Warmup N: 1000
209,81,750.0,1.0,1.0,0.4,0.9,2000,Warmup N: 2000
210,81,656.25,1.0,1.0,0.35,0.85,2000,Warmup N: 2000
211,81,562.4999999999999,1.0,1.0,0.30000000000000004,0.8,2000,Warmup N: 2000
212,81,468.75,1.0,1.0,0.25,0.75,2000,Warmup N: 2000
213,81,374.99999999999994,1.0,1.0,0.19999999999999996,0.7,2000,Warmup N: 2000
214,81,283.70249999999993,1.0,1.0,0.15000000000000002,0.65,2000,Warmup N: 2000
215,81,216.83399999999995,0.97,0.97,0.09999999999999998,0.6,2000,Warmup N: 2000
216,81,160.99350000000015,0.76,0.06,0.050000000000000044,0.55,2000,Warmup N: 2000
217,91,36.356,1.0,1.0,0.4,0.9,0,Warmup N: 0
218,91,74.235,1.0,1.0,0.35,0.85,0,Warmup N: 0
219,91,63.59100000000001,1.0,1.0,0.30000000000000004,0.8,0,Warmup N: 0
220,91,88.6375,1.0,1.0,0.25,0.75,0,Warmup N: 0
221,91,69.00799999999998,0.97,0.97,0.19999999999999996,0.7,0,Warmup N: 0
222,91,100.72799999999998,0.97,0.97,0.15000000000000002,0.65,0,Warmup N: 0
223,91,110.19499999999996,0.97,0.97,0.09999999999999998,0.6,0,Warmup N: 0
224,91,113.48750000000008,0.76,0.03,0.050000000000000044,0.55,0,Warmup N: 0
225,91,374.79999999999984,1.0,1.0,0.4,0.9,1000,Warmup N: 1000
226,91,327.95000000000016,1.0,1.0,0.35,0.85,1000,Warmup N: 1000
227,91,281.7840000000002,1.0,1.0,0.30000000000000004,0.8,1000,Warmup N: 1000
